,Unnamed: 0,label
0,0,1
1,1,2
2,2,8
3,3,5
4,4,0
5,5,4
6,6,2
7,7,1
8,8,6
9,9,5
10,10,1
11,11,0
12,12,3
13,13,6
14,14,0
15,15,1
16,16,2
17,17,1
18,18,7
19,19,0
20,20,2
21,21,0
22,22,1
23,23,6
24,24,2
25,25,5
26,26,1
27,27,2
28,28,2
29,29,6
30,30,0
31,31,7
32,32,1
33,33,1
34,34,6
35,35,0
36,36,3
37,37,9
38,38,5
39,39,3
40,40,5
41,41,2
42,42,1
43,43,2
44,44,1
45,45,1
46,46,1
47,47,2
48,48,2
49,49,0
50,50,5
51,51,2
52,52,3
53,53,1
54,54,0
55,55,7
56,56,5
57,57,7
58,58,0
59,59,3
60,60,5
61,61,3
62,62,0
63,63,6
64,64,2
65,65,13
66,66,1
67,67,1
68,68,2
69,69,2
70,70,6
71,71,1
72,72,4
73,73,4
74,74,0
75,75,2
76,76,2
77,77,2
78,78,3
79,79,0
80,80,8
81,81,8
82,82,1
83,83,4
84,84,9
85,85,1
86,86,1
87,87,10
88,88,3
89,89,0
90,90,9
91,91,1
92,92,1
93,93,8
94,94,3
95,95,7
96,96,10
97,97,10
98,98,3
99,99,0
100,100,2
101,101,0
102,102,6
103,103,3
104,104,0
105,105,0
106,106,3
107,107,2
108,108,8
109,109,4
110,110,1
111,111,2
112,112,2
113,113,3
114,114,5
115,115,2
116,116,1
117,117,7
118,118,2
119,119,1
120,120,0
121,121,2
122,122,1
123,123,3
124,124,2
125,125,9
126,126,2
127,127,1
128,128,1
129,129,0
130,130,0
131,131,6
132,132,2
133,133,2
134,134,2
135,135,2
136,136,0
137,137,0
138,138,0
139,139,0
140,140,1
141,141,0
142,142,6
143,143,5
144,144,1
145,145,6
146,146,0
147,147,0
148,148,0
149,149,5
150,150,3
151,151,1
152,152,2
153,153,1
154,154,3
155,155,7
156,156,2
157,157,8
158,158,5
159,159,5
160,160,2
161,161,8
162,162,2
163,163,9
164,164,0
165,165,0
166,166,6
167,167,5
168,168,2
169,169,1
170,170,3
171,171,4
172,172,2
173,173,3
174,174,0
175,175,3
176,176,1
177,177,0
178,178,2
179,179,1
180,180,4
181,181,3
182,182,1
183,183,4
184,184,8
185,185,2
186,186,8
187,187,2
188,188,5
189,189,9
190,190,2
191,191,7
192,192,1
193,193,4
194,194,0
195,195,3
196,196,6
197,197,7
198,198,0
199,199,7
200,200,9
201,201,8
202,202,0
203,203,2
204,204,0
205,205,6
206,206,2
207,207,3
208,208,2
209,209,0
210,210,1
211,211,7
212,212,2
213,213,7
214,214,1
215,215,3
216,216,2
217,217,0
218,218,3
219,219,10
220,220,9
221,221,4
222,222,2
223,223,0
224,224,3
225,225,0
226,226,1
227,227,1
228,228,0
229,229,1
230,230,1
231,231,6
232,232,11
233,233,2
234,234,4
235,235,5
236,236,3
237,237,1
238,238,1
239,239,0
240,240,1
241,241,10
242,242,0
243,243,8
244,244,11
245,245,0
246,246,3
247,247,8
248,248,3
249,249,1
250,250,0
251,251,4
252,252,0
253,253,1
254,254,3
255,255,3
256,256,4
257,257,2
258,258,1
259,259,11
260,260,2
261,261,1
262,262,0
263,263,2
264,264,7
265,265,1
266,266,11
267,267,0
268,268,0
269,269,6
270,270,2
271,271,1
272,272,4
273,273,1
274,274,1
275,275,3
276,276,4
277,277,1
278,278,1
279,279,4
280,280,8
281,281,6
282,282,3
283,283,0
284,284,0
285,285,1
286,286,5
287,287,3
288,288,0
289,289,1
290,290,5
291,291,7
292,292,4
293,293,4
294,294,0
295,295,8
296,296,2
297,297,0
298,298,0
299,299,1
300,300,6
301,301,2
302,302,4
303,303,4
304,304,3
305,305,13
306,306,7
307,307,1
308,308,2
309,309,6
310,310,1
311,311,3
312,312,2
313,313,10
314,314,1
315,315,1
316,316,5
317,317,4
318,318,0
319,319,2
320,320,5
321,321,1
322,322,13
323,323,2
324,324,10
325,325,4
326,326,2
327,327,0
328,328,7
329,329,3
330,330,1
331,331,1
332,332,1
333,333,2
334,334,10
335,335,0
336,336,1
337,337,7
338,338,1
339,339,3
340,340,1
341,341,7
342,342,1
343,343,1
344,344,0
345,345,2
346,346,5
347,347,0
348,348,1
349,349,0
350,350,1
351,351,0
352,352,0
353,353,0
354,354,2
355,355,3
356,356,0
357,357,1
358,358,2
359,359,2
360,360,1
361,361,1
362,362,7
363,363,7
364,364,7
365,365,2
366,366,2
367,367,2
368,368,2
369,369,1
370,370,1
371,371,0
372,372,1
373,373,7
374,374,7
375,375,0
376,376,6
377,377,10
378,378,1
379,379,5
380,380,2
381,381,0
382,382,2
383,383,5
384,384,8
385,385,1
386,386,1
387,387,2
388,388,1
389,389,0
390,390,2
391,391,1
392,392,0
393,393,0
394,394,7
395,395,5
396,396,0
397,397,0
398,398,4
399,399,6
400,400,2
401,401,6
402,402,5
403,403,8
404,404,4
405,405,3
406,406,10
407,407,1
408,408,6
409,409,1
410,410,7
411,411,1
412,412,0
413,413,0
414,414,0
415,415,4
416,416,2
417,417,9
418,418,9
419,419,4
420,420,1
421,421,7
422,422,12
423,423,2
424,424,3
425,425,3
426,426,3
427,427,10
428,428,0
429,429,4
430,430,5
431,431,9
432,432,1
433,433,10
434,434,10
435,435,3
436,436,1
437,437,0
438,438,1
439,439,1
440,440,3
441,441,0
442,442,0
443,443,1
444,444,2
445,445,0
446,446,0
447,447,0
448,448,0
449,449,3
450,450,4
451,451,3
452,452,2
453,453,0
454,454,8
455,455,5
456,456,2
457,457,9
458,458,4
459,459,1
460,460,4
461,461,3
462,462,10
463,463,1
464,464,5
465,465,2
466,466,0
467,467,12
468,468,0
469,469,1
470,470,1
471,471,5
472,472,2
473,473,4
474,474,9
475,475,0
476,476,1
477,477,0
478,478,4
479,479,3
480,480,3
481,481,1
482,482,2
483,483,1
484,484,1
485,485,3
486,486,3
487,487,0
488,488,7
489,489,3
490,490,6
491,491,10
492,492,3
493,493,1
494,494,3
495,495,8
496,496,1
497,497,0
498,498,3
499,499,0
500,500,1
501,501,7
502,502,10
503,503,3
504,504,3
505,505,1
506,506,6
507,507,6
508,508,2
509,509,3
510,510,1
511,511,2
512,512,3
513,513,6
514,514,4
515,515,4
516,516,2
517,517,2
518,518,0
519,519,2
520,520,0
521,521,3
522,522,0
523,523,2
524,524,0
525,525,0
526,526,4
527,527,0
528,528,0
529,529,1
530,530,1
531,531,4
532,532,11
533,533,1
534,534,0
535,535,3
536,536,1
537,537,1
538,538,5
539,539,3
540,540,10
541,541,2
542,542,4
543,543,1
544,544,1
545,545,2
546,546,3
547,547,5
548,548,4
549,549,2
550,550,2
551,551,4
552,552,5
553,553,3
554,554,1
555,555,8
556,556,0
557,557,1
558,558,3
559,559,1
560,560,1
561,561,9
562,562,2
563,563,5
564,564,10
565,565,1
566,566,5
567,567,2
568,568,0
569,569,11
570,570,1
571,571,0
572,572,6
573,573,1
574,574,8
575,575,2
576,576,9
577,577,10
578,578,7
579,579,3
580,580,0
581,581,0
582,582,9
583,583,0
584,584,9
585,585,5
586,586,2
587,587,13
588,588,0
589,589,0
590,590,2
591,591,2
592,592,10
593,593,10
594,594,4
595,595,7
596,596,9
597,597,0
598,598,1
599,599,3
600,600,5
601,601,2
602,602,0
603,603,2
604,604,4
605,605,10
606,606,3
607,607,0
608,608,6
609,609,11
610,610,4
611,611,4
612,612,1
613,613,0
614,614,9
615,615,1
616,616,2
617,617,3
618,618,0
619,619,5
620,620,3
621,621,7
622,622,4
623,623,0
624,624,6
625,625,1
626,626,2
627,627,1
628,628,3
629,629,9
630,630,8
631,631,4
632,632,0
633,633,3
634,634,0
635,635,0
636,636,2
637,637,4
638,638,3
639,639,4
640,640,2
641,641,10
642,642,0
643,643,0
644,644,6
645,645,1
646,646,1
647,647,2
648,648,1
649,649,1
650,650,8
651,651,0
652,652,3
653,653,10
654,654,0
655,655,3
656,656,2
657,657,1
658,658,9
659,659,7
660,660,2
661,661,1
662,662,0
663,663,3
664,664,10
665,665,1
666,666,10
667,667,1
668,668,0
669,669,2
670,670,1
671,671,8
672,672,7
673,673,0
674,674,3
675,675,1
676,676,10
677,677,6
678,678,7
679,679,1
680,680,3
681,681,0
682,682,7
683,683,10
684,684,4
685,685,0
686,686,5
687,687,0
688,688,4
689,689,11
690,690,2
691,691,5
692,692,5
693,693,2
694,694,0
695,695,6
696,696,0
697,697,6
698,698,1
699,699,1
700,700,0
701,701,1
702,702,0
703,703,1
704,704,3
705,705,9
706,706,1
707,707,4
708,708,5
709,709,3
710,710,0
711,711,5
712,712,0
713,713,8
714,714,3
715,715,10
716,716,4
717,717,0
718,718,5
719,719,3
720,720,3
721,721,3
722,722,2
723,723,1
724,724,2
725,725,0
726,726,3
727,727,3
728,728,1
729,729,11
730,730,10
731,731,0
732,732,3
733,733,0
734,734,0
735,735,1
736,736,8
737,737,1
738,738,12
739,739,2
740,740,4
741,741,3
742,742,4
743,743,2
744,744,1
745,745,1
746,746,5
747,747,6
748,748,1
749,749,0
750,750,7
751,751,10
752,752,4
753,753,3
754,754,5
755,755,1
756,756,0
757,757,10
758,758,3
759,759,10
760,760,2
761,761,5
762,762,7
763,763,4
764,764,7
765,765,3
766,766,2
767,767,4
768,768,2
769,769,3
770,770,1
771,771,3
772,772,7
773,773,9
774,774,2
775,775,4
